TREE_ID,OBJECTID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
22903,4187,600 W 3RD ST,Washingtonia robusta,Mexican Fan Palm,17,38,Good,ROW,,3112021.601449999958277,10070323.36119999922812
22904,4188,600 W 3RD ST,Washingtonia robusta,Mexican Fan Palm,15,38,Good,ROW,,3112014.947589999996126,10070325.239199999719858
22905,4189,600 W 3RD ST,Stump,Stump,22,0,Stump,ROW,,3112012.344909999985248,10070318.772299999371171
22906,4190,600 W 3RD ST,Ulmus parvifolia,Chinese Elm,5,23,Good,ROW,,3112044.316959999967366,10070334.786100000143051
22907,4191,600 W 3RD ST,Ulmus parvifolia,Chinese Elm,5,23,Fair,ROW,,3112083.360520000103861,10070324.642400000244379
22908,4192,600 W 3RD ST,Ulmus parvifolia,Chinese Elm,5,23,Fair,ROW,,3112121.267920000012964,10070313.594499999657273
22909,4193,600 W 3RD ST,Ulmus parvifolia,Chinese Elm,5,23,Good,ROW,,3112154.674349999986589,10070303.969200000166893
22910,4194,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112203.634879999794066,10070320.921299999579787
22911,4195,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112207.94162999978289,10070337.471699999645352
22912,4196,300 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112213.126000000163913,10070356.087500000372529
22913,4197,300 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Fair,ROW,,3112231.59775000018999,10070416.746500000357628
22914,4198,300 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Fair,ROW,,3112274.928050000220537,10070570.302300000563264
22915,4199,600 W 4TH ST,Ulmus crassifolia,Cedar Elm,7,23,Good,ROW,,3112252.453029999975115,10070589.809800000861287
22916,4200,600 W 4TH ST,Ulmus crassifolia,Cedar Elm,8,23,Good,ROW,,3112234.788360000122339,10070596.301300000399351
22917,4201,600 W 4TH ST,Ulmus crassifolia,Cedar Elm,6,23,Good,ROW,,3112216.576779999770224,10070601.44789999909699
22918,4202,600 W 4TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3112114.155730000231415,10070630.076500000432134
22919,4203,600 W 4TH ST,Quercus shumardii,Shumard Oak,5,8,Dead,ROW,,3112079.508820000104606,10070637.74379999935627
22920,4204,600 W 4TH ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3112031.213640000205487,10070651.673200000077486
22921,4205,600 W 4TH ST,Quercus shumardii,Shumard Oak,9,38,Excellent,ROW,,3112021.011890000198036,10070655.016100000590086
22922,4206,600 W 4TH ST,Celtis laevigata,Sugarberry,9,23,Good,ROW,,3111994.041139999870211,10070666.000600000843406
22923,4207,600 W 4TH ST,Parkinsonia aculeata,Jerusalem Thorn,4,8,Poor,ROW,,3111977.017880000174046,10070674.658399999141693
22924,4208,400 RIO GRANDE ST,Carya illinoinensis,Pecan,27,53,Good,ROW,,3111960.426709999796003,10070687.828999999910593
22925,4209,400 RIO GRANDE ST,Ulmus americana,American Elm,4,8,Poor,ROW,,3111956.558929999824613,10070708.006400000303984
22926,4210,604 W 4 ST,Carya illinoinensis,Pecan,19,38,Good,Private,,3112158.165479999966919,10070698.668199999257922
22927,4211,604 W 4 ST,Carya illinoinensis,Pecan,25,53,Good,Private,,3112236.337569999974221,10070795.541999999433756
22928,4212,400 NUECES ST,Quercus shumardii,Shumard Oak,5,23,Good,ROW,,3112340.321620000060648,10070784.216299999505281
22929,4213,400 NUECES ST,Quercus shumardii,Shumard Oak,6,23,Good,ROW,,3112369.409159999806434,10070869.686599999666214
22930,4214,400 NUECES ST,Quercus shumardii,Shumard Oak,6,8,Dead,ROW,,3112374.927850000094622,10070890.128100000321865
22931,4215,500 NUECES ST,Quercus shumardii,Shumard Oak,7,23,Good,ROW,,3112410.221410000231117,10071009.862500000745058
22932,4216,500 NUECES ST,Quercus shumardii,Shumard Oak,7,23,Good,ROW,,3112415.292919999919832,10071030.119999999180436
22933,4217,500 NUECES ST,Quercus shumardii,Shumard Oak,7,23,Good,ROW,,3112420.656760000158101,10071051.245899999514222
22934,4218,601 W 5 ST,Quercus fusiformis,Escarpment Live Oak,54,38,Excellent,Private,,3112216.812349999789149,10070843.474300000816584
22935,4219,400 W 5TH ST,Ulmus crassifolia,Cedar Elm,6,23,Fair,ROW,,3112908.201710000168532,10070828.641400000080466
22936,4220,400 W 5TH ST,Quercus shumardii,Shumard Oak,7,23,Dead,ROW,,3112941.870939999818802,10070820.176200000569224
22937,4221,400 W 5TH ST,Quercus virginiana,Southern Live Oak,17,23,Fair,ROW,,3113017.751040000002831,10070727.128399999812245
22938,4222,400 W 5TH ST,Quercus virginiana,Southern Live Oak,23,38,Good,ROW,,3112989.857059999834746,10070738.746200000867248
22939,4223,400 W 5TH ST,Quercus virginiana,Southern Live Oak,6,23,Fair,ROW,,3112952.110090000089258,10070748.979499999433756
22940,4224,400 W 5TH ST,Quercus virginiana,Southern Live Oak,27,38,Good,ROW,,3112923.020909999962896,10070755.204199999570847
22941,4225,400 W 5TH ST,Quercus virginiana,Southern Live Oak,26,38,Good,ROW,,3112896.308040000032634,10070765.732999999076128
22942,4226,400 W 5TH ST,Quercus virginiana,Southern Live Oak,19,23,Fair,ROW,,3112872.317929999902844,10070775.971200000494719
22943,4227,400 W 5TH ST,Quercus virginiana,Southern Live Oak,21,23,Fair,ROW,,3112849.408849999774247,10070779.692299999296665
22944,4228,400 W 5TH ST,Quercus virginiana,Southern Live Oak,20,23,Good,ROW,,3112817.538840000052005,10070791.953099999576807
22945,4229,400 SAN ANTONIO ST,Quercus virginiana,Southern Live Oak,28,23,Good,ROW,,3112772.232499999925494,10070758.028599999845028
22946,4230,400 SAN ANTONIO ST,Quercus virginiana,Southern Live Oak,20,23,Good,ROW,,3112765.202000000048429,10070732.903699999675155
22947,4231,400 SAN ANTONIO ST,Quercus virginiana,Southern Live Oak,23,23,Fair,ROW,,3112756.251889999955893,10070700.728900000452995
22948,4232,400 GUADALUPE ST,Taxodium distichum,Bald Cypress,20,38,Fair,Park,Republic Square,3112860.248070000205189,10070681.246300000697374
22949,4233,400 GUADALUPE ST,Taxodium distichum,Bald Cypress,22,38,Good,Park,Republic Square,3112862.295969999860972,10070666.176100000739098
22950,4234,400 GUADALUPE ST,Quercus fusiformis,Escarpment Live Oak,35,23,Poor,Park,Republic Square,3112797.525429999921471,10070616.391799999400973
